REG_ANS;CNPJ;Razao_Social
424536;5,82468E+13;BRS ADMINISTRADORA DE SAUDE LTDA
423530;4,62937E+13;BWG ADMINISTRADORA DE BENEFICIOS LTDA.
415774;7,84444E+12;CABERJ INTEGRAL SAÚDE S.A
424021;5,08054E+13;CACSS ADMINISTRADORA DE BENEFICIOS LTDA
327557;8,39376E+13;CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC
347825;1,0522E+12;CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO
314251;2,17235E+12;CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE
352331;6,22315E+13;CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO
414026;7,83047E+13;CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU
316873;7,33955E+13;CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE
413534;4,31109E+12;CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL
418820;2,7086E+13;CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO
413518;4,19751E+12;CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND
416401;8,09709E+12;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA EMPRESA BRASILEIRA DE PESQUISA  AGROPECUÁRIA
363855;3,7382E+13;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO
307319;2,31543E+12;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL
315583;1,52155E+13;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB
335789;1,30866E+13;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE
344184;3,36016E+13;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME
343331;2,85021E+13;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SISTEMA FINANCEIRO BANESTES
358754;4,20429E+12;CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA - CASF
346659;3,37195E+13;CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL
385697;5,81478E+12;CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL
302627;3,56173E+13;CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO
359122;6,33677E+13;CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS
417548;3,03301E+12;CAIXA DE ASSISTÊNCIA OSWALDO CRUZ
320820;6,6879E+11;CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE
412295;3,70298E+12;CAIXA DE ASSISTÊNCIA À SAUDE DOS EMPREGADOS DA CODEVASF - CASEC
324361;4,21822E+13;CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ
417661;1,19961E+13;CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO
421341;4,57463E+12;CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL
419851;2,12058E+13;CAIXA DE ASSISTÊNCIA À SAÚDE DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICAS E DO MATERIAL ELÉTRICO DE BRUSQUE
324477;3,00367E+13;CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP
312924;3,60305E+11;CAIXA ECONÔMICA FEDERAL
418072;1,3224E+13;CAIXA SEGURADORA ESPECIALIZADA EM SAÚDE S/A
319872;3,59086E+13;CAMIM OPERADORA DE PLANO DE SAÚDE LTDA
417785;4,56622E+12;CAMPEÃ ADMINISTRADORA DE BENEFÍCIOS LTDA.
419265;1,76347E+13;CAPITAL ADMINISTRADORA DE BENEFÍCIOS LTDA.
379956;2,72535E+12;CARE PLUS MEDICINA ASSISTENCIAL LTDA.
389358;8,56424E+11;CARE PLUS ODONTOLOGIA ASSISTENCIAL LTDA.
422304;3,62635E+13;CARING SAÚDE ASSISTÊNCIA MÉDICA LTDA.
327328;5,45543E+12;CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA.
417165;9,11471E+12;CASE - CENTRAL DE ADMINISTRAÇÃO DE PLANO DE SAÚDE LTDA
423637;4,98848E+13;CASUFES SAÚDE ADMINISTRADORA DE BENEFÍCIOS
415952;6,41705E+13;CDA - ASSISTÊNCIA ODONTOLÓGICA LTDA - EPP
311472;1,89871E+13;CEAM BRASIL - PLANOS DE SAÚDE LTDA
418749;6,81435E+12;CEDPLAN SAÚDE LTDA EPP
339270;4,22788E+13;CELULOSE NIPO-BRASILEIRA S/A - CENIBRA
417505;1,20558E+13;CEMIG SAÚDE
422436;4,94019E+12;CENIBRA LOGÍSTICA LTDA
417092;1,054E+13;CENTRAL OPERADORA DE PLANOS DE SAÚDE NORTE-NORDESTE LTDA
386596;3,66982E+11;CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO
392804;7,73639E+11;CENTRO CLÍNICO GAÚCHO LTDA
415910;2,56947E+12;CENTRO DE ENDOCRINOLOGIA DE JUNDIAÍ S/S LTDA
350699;9,50062E+11;CENTRO HOSPITALAR ATIBAIA LTDA.
314757;3,7161E+13;CENTRO ODONTOLOGICO INTEGRADO LTDA
303623;6,26384E+13;CENTRO TRASMONTANO DE SAO PAULO
401871;6,49286E+13;CEORP - CENTRO ODONTOLOGICO LTDA
324892;4,37765E+13;CETESB - COMPANHIA AMBIENTAL DO ESTADO DE SÃO PAULO
310247;8,86454E+13;CIRCULO OPERARIO CAXIENSE
423963;4,04325E+13;CLARO S.A
419435;2,00884E+13;CLASSE ADMINISTRADORA DE BENEFÍCIOS LTDA - ME
423327;4,33834E+13;CLICSAUDE ADMINISTRADORA DE BENEFICIOS LTDA
410071;3,44795E+12;CLINICA ODONTOLOGICA ODONTOPLAN LTDA
340782;7,68826E+13;CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA
417891;9,58527E+12;CLUBE DE BENEFICIOS PARA COOP., ASS., CONS., SIND. E SEGUROS - CBCACSS
422461;3,80463E+13;CLUBE SILVER ADMINISTRADORA DE PLANOS DE SAUDE LTDA
415944;5,12623E+13;CLÍNICA SÃO GABRIEL S/S LTDA
